樣本編號,性別,年齡,地區代碼,教育程度,是否完成學業,每日閱讀報紙分鐘,每日看電視分鐘,每日使用網路分鐘,每週閱讀雜誌分鐘,臺灣經濟滿意度,政府施政滿意度,民主運作滿意度,收入足夠日常開支,整體生活滿意度,健康滿意度,朋友關係滿意度,工作滿意度,近期快樂程度,自評健康,覺得生活沒有希望,家庭月收入,低生活滿意度,抽樣權數
206134,Female,24,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,60,300,60,Not applicable,Not applicable,Not applicable,Just enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,Fairly satisfied,Pretty happy,Very good,Not at all,Don't know,0,0.771174983801733
206206,Female,22,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",NA,60,840,150,Not applicable,Not applicable,Not applicable,Much more than enough,Pretty satisfied,Fairly dissatisfied,Pretty satisfied,Pretty satisfied,Pretty happy,Poor,Not at all,"NT$190,000 - NT$199,999",0,0.771174983801733
207118,Female,23,1,Vocational senior high school (continue with 6a1),"Yes, I graduated",0,240,240,0,Not applicable,Not applicable,Not applicable,Just enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Poor,Not at all,Don't know,0,0.883624785883926
220224,Male,19,1,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0,180,360,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,I am currently unemployed,Pretty happy,Fair,Same as usual,"NT$90,000 - NT$99,999",0,0.903148143353548
220231,Male,24,1,Senior high school (continue with 6a1),"Yes, I graduated",30,150,180,0,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,A little more than enough,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Pretty happy,Good,Not at all,Don't know,1,0.903148143353548
222114,Female,22,1,College (continue with 6a2),"Yes, I graduated",10,60,180,0,Not applicable,Not applicable,Not applicable,Much less than enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,Pretty satisfied,Pretty happy,Good,Not at all,"NT$50,000 - NT$59,999",0,0.843472649944026
222115,Female,19,1,Vocational senior high school (continue with 6a1),"No, I didn't graduate",0,60,180,120,Fairly dissatisfied,Very dissatisfied,Very dissatisfied,Much more than enough,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,I am currently unemployed,Pretty unhappy,Poor,Same as usual,"NT$200,000 - NT$299,999",1,0.843472649944026
222217,Female,20,1,College (continue with 6a2),"No, I am still a student",0,120,330,0,No comment,Don't know,Fairly satisfied,A little more than enough,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Poor,Not at all,"NT$100,000 - NT$109,999",0,0.843472649944026
231235,Female,22,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,120,180,60,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,A little less than enough,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Poor,Not at all,"NT$150,000 - NT$159,999",1,0.692080014661873
234125,Male,22,1,Master's degree (continue with 6a2),"No, I am still a student",0,120,240,30,Very dissatisfied,Very dissatisfied,Fairly dissatisfied,A little more than enough,Fairly satisfied,Pretty satisfied,Pretty satisfied,Fairly dissatisfied,Fairly happy,Very good,Not at all,"NT$120,000 - NT$129,999",0,0.750077095794649
234141,Female,21,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0,150,720,40,Fairly dissatisfied,Very dissatisfied,Fairly dissatisfied,Much more than enough,Pretty satisfied,Pretty dissatisfied,Pretty satisfied,I am currently unemployed,Pretty happy,Poor,Not at all,Don't know,0,0.750077095794649
234220,Female,20,1,Vocational senior high school (continue with 6a1),"Yes, I graduated",0,120,120,0,Not applicable,Not applicable,Not applicable,A little less than enough,Pretty satisfied,Fairly satisfied,Pretty satisfied,Fairly satisfied,Fairly happy,Fair,Same as usual,Don't know,0,0.750077095794649
234231,Male,21,1,Junior high school,"Yes, I graduated",0,180,240,0,No comment,No comment,Fairly satisfied,A little less than enough,Fairly dissatisfied,Fairly satisfied,Pretty satisfied,Fairly satisfied,Fairly happy,Good,Not at all,Don't know,1,0.750077095794649
235135,Female,24,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,300,720,180,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,A little more than enough,Fairly dissatisfied,Fairly satisfied,Pretty satisfied,Fairly satisfied,Fairly happy,Fair,Not at all,Don't know,1,0.831846965580071
235137,Female,21,1,College (continue with 6a2),"No, I am still a student",30,10,300,0,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,A little more than enough,Pretty satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Pretty happy,Very good,Not at all,Don't know,0,0.831846965580071
235211,Female,21,1,College (continue with 6a2),"No, I am still a student",0,240,180,60,Fairly dissatisfied,Very dissatisfied,Fairly dissatisfied,A little more than enough,Fairly satisfied,Pretty satisfied,Pretty satisfied,Pretty satisfied,Fairly happy,Very good,Not at all,"NT$90,000 - NT$99,999",0,0.831846965580071
235214,Male,19,1,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0,0,360,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Pretty happy,Poor,Not at all,"NT$60,000 - NT$69,999",0,0.831846965580071
235223,Female,22,1,Vocational senior high school (continue with 6a1),"No, I didn't graduate",0,10,240,60,No comment,Fairly dissatisfied,Fairly satisfied,Just enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Fairly happy,Good,Not at all,"NT$30,000 - NT$39,999",0,0.831846965580071
235236,Female,24,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,120,900,0,Not applicable,Not applicable,Not applicable,Just enough,Fairly satisfied,Fairly dissatisfied,Fairly dissatisfied,Pretty satisfied,Pretty happy,Good,Not at all,"NT$400,000 - NT$499,999",0,0.831846965580071
236114,Male,23,1,Master's degree (continue with 6a2),"No, I am still a student",0,60,120,0,Not applicable,Not applicable,Not applicable,Just enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Good,Same as usual,"NT$40,000 - NT$49,999",0,0.692080014661873
236206,Female,24,1,Vocational senior high school (continue with 6a1),"No, I didn't graduate",0,60,600,30,Not applicable,Not applicable,Not applicable,A little less than enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,I am currently unemployed,Fairly happy,Good,Same as usual,"NT$50,000 - NT$59,999",0,0.692080014661873
236214,Female,19,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0,90,270,0,Not applicable,Not applicable,Not applicable,A little less than enough,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly unhappy,Poor,Same as usual,"NT$40,000 - NT$49,999",0,0.692080014661873
236217,Male,20,1,College (continue with 6a2),"No, I am still a student",0,20,120,0,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,A little less than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Very good,Same as usual,"NT$100,000 - NT$109,999",0,0.692080014661873
236232,Male,24,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,0,720,0,Not applicable,Not applicable,Not applicable,Just enough,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Fair,Not at all,"NT$30,000 - NT$39,999",0,0.692080014661873
237113,Female,23,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",10,150,120,60,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Just enough,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Good,Same as usual,"NT$80,000 - NT$89,999",1,0.771174983801733
238202,Male,21,1,College (continue with 6a2),"No, I am still a student",0,0,150,1440,Not applicable,Not applicable,Not applicable,Much more than enough,Pretty satisfied,Pretty satisfied,Pretty satisfied,Fairly satisfied,Pretty happy,Poor,Not at all,"NT$70,000 - NT$79,999",0,0.771174983801733
238204,Male,23,1,College (continue with 6a2),"Yes, I graduated",0,0,300,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Good,Not at all,Don't know,0,0.771174983801733
238216,Male,24,1,College (continue with 6a2),"Yes, I graduated",0,120,180,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly unhappy,Good,Not at all,Don't know,0,0.771174983801733
238218,Female,23,1,College (continue with 6a2),Not applicable,0,60,180,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Very good,Not at all,Don't know,0,0.771174983801733
241117,Male,19,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",15,180,240,0,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Just enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Fair,Same as usual,"NT$90,000 - NT$99,999",0,0.770980106363034
241141,Male,24,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",15,120,360,0,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,A little less than enough,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,I am currently unemployed,Fairly unhappy,Poor,A bit more than usual,"NT$200,000 - NT$299,999",0,0.770980106363034
241203,Female,23,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",10,10,180,0,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,A little less than enough,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Poor,Not at all,"NT$40,000 - NT$49,999",1,0.770980106363034
242211,Female,22,1,College (continue with 6a2),"Yes, I graduated",30,240,270,0,Very satisfied,Very satisfied,Fairly satisfied,A little more than enough,Fairly satisfied,Pretty satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Very good,Not at all,"NT$80,000 - NT$89,999",0,0.903148143353548
242214,Male,21,1,Vocational senior high school (continue with 6a1),"No, I didn't graduate",0,180,480,0,Not applicable,Not applicable,Not applicable,A little more than enough,Pretty satisfied,Pretty satisfied,Pretty satisfied,Pretty satisfied,Pretty happy,Very good,Not at all,"NT$90,000 - NT$99,999",0,0.903148143353548
244126,Female,24,1,College (continue with 6a2),"Yes, I graduated",30,60,90,60,Not applicable,Not applicable,Not applicable,Much more than enough,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Fair,Not at all,Don't know,1,0.831846965580071
244133,Female,22,1,College (continue with 6a2),Not applicable,0,120,300,0,Fairly satisfied,Fairly dissatisfied,Fairly dissatisfied,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Fair,Not at all,"NT$190,000 - NT$199,999",0,0.831846965580071
244137,Male,20,1,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0,90,360,0,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Pretty satisfied,Fairly happy,Very good,Not at all,"NT$30,000 - NT$39,999",0,0.831846965580071
244208,Male,22,1,College (continue with 6a2),"Yes, I graduated",60,150,330,60,Not applicable,Not applicable,Not applicable,Just enough,Pretty satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Good,Same as usual,"NT$130,000 - NT$139,999",0,0.831846965580071
244228,Female,19,1,College (continue with 6a2),"No, I am still a student",0,60,60,5,Not applicable,Not applicable,Not applicable,Much more than enough,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Very good,Same as usual,Don't know,1,0.831846965580071
251113,Female,22,1,College (continue with 6a2),"Yes, I graduated",10,300,180,0,Fairly satisfied,Fairly satisfied,Very satisfied,A little less than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Fair,Not at all,"NT$70,000 - NT$79,999",0,0.878060569785044
251125,Male,19,1,College (continue with 6a2),"No, I am still a student",0,300,360,120,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Fairly happy,Good,Not at all,"NT$70,000 - NT$79,999",0,0.878060569785044
251134,Female,19,1,Five-year junior college,"No, I am still a student",0,180,240,0,Not applicable,Not applicable,Not applicable,Just enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Pretty happy,Good,Not at all,"NT$30,000 - NT$39,999",0,0.878060569785044
269113,Male,23,1,College (continue with 6a2),"Yes, I graduated",20,120,180,0,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,A little more than enough,Fairly satisfied,Pretty satisfied,Pretty satisfied,I am currently unemployed,Fairly happy,Excellent,Not at all,"NT$50,000 - NT$59,999",0,0.883624785883926
269122,Male,19,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",20,0,300,0,Not applicable,Not applicable,Not applicable,A little less than enough,Fairly dissatisfied,Fairly satisfied,Fairly dissatisfied,I am currently unemployed,Fairly happy,Very good,Not at all,Don't know,1,0.883624785883926
300102,Male,19,2,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,10,150,150,0,Not applicable,Not applicable,Not applicable,A little more than enough,Pretty satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Pretty happy,Good,Not at all,"NT$70,000 - NT$79,999",0,0.774887731672533
300105,Male,22,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,180,150,0,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Just enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly unhappy,Fair,A bit more than usual,Don't know,0,0.774887731672533
300115,Female,20,2,Comprehensive senior high school (continue with 6a1),"Yes, I graduated",15,15,180,15,Very dissatisfied,Very dissatisfied,Fairly dissatisfied,Just enough,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,Pretty unhappy,Good,Not at all,Don't know,0,0.774887731672533
300208,Female,22,2,Master's degree (continue with 6a2),"No, I am still a student",90,90,180,60,Not applicable,Not applicable,Not applicable,Much more than enough,Pretty satisfied,Pretty satisfied,Pretty satisfied,I am currently unemployed,Pretty happy,Very good,Not at all,"NT$40,000 - NT$49,999",0,0.774887731672533
300224,Female,22,2,College (continue with 6a2),Not applicable,0,30,180,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Pretty dissatisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Poor,Not at all,Don't know,0,0.774887731672533
300232,Female,19,2,Junior high school,"Yes, I graduated",0,120,120,5,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,I am currently unemployed,Fairly happy,Very good,Same as usual,Don't know,0,0.774887731672533
300240,Male,21,2,Vocational senior high school (continue with 6a1),"Yes, I graduated",60,90,60,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Fairly happy,Fair,Not at all,Don't know,0,0.774887731672533
302107,Female,20,2,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0,60,120,30,Fairly dissatisfied,Very dissatisfied,Fairly satisfied,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Fair,Not at all,Don't know,0,0.96337362953165
302135,Male,23,2,Master's degree (continue with 6a2),"Yes, I graduated",0,210,330,30,Fairly dissatisfied,Very dissatisfied,Fairly satisfied,Just enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,I am currently unemployed,Fairly happy,Very good,Not at all,"NT$60,000 - NT$69,999",0,0.96337362953165
302203,Male,19,2,College (continue with 6a2),"No, I am still a student",0,60,180,0,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Don't know,Fairly satisfied,Pretty satisfied,Fairly satisfied,I am currently unemployed,Pretty happy,Very good,Not at all,Don't know,0,0.96337362953165
302212,Female,19,2,College (continue with 6a2),"No, I am still a student",0,180,300,180,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Good,Same as usual,"NT$90,000 - NT$99,999",0,0.96337362953165
302217,Male,22,2,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0,0,300,0,Fairly satisfied,Fairly satisfied,Fairly satisfied,Just enough,Pretty satisfied,Fairly satisfied,Pretty satisfied,Pretty satisfied,Pretty happy,Very good,Not at all,"NT$100,000 - NT$109,999",0,0.96337362953165
302229,Female,21,2,College (continue with 6a2),"No, I am still a student",0,0,120,0,Fairly satisfied,No comment,Fairly satisfied,A little more than enough,Pretty satisfied,Fairly satisfied,Pretty satisfied,I am currently unemployed,Pretty happy,Very good,Not at all,Don't know,0,0.96337362953165
302232,Female,23,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,60,150,180,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,Fairly satisfied,Pretty happy,Good,Not at all,"NT$200,000 - NT$299,999",0,0.96337362953165
324102,Female,24,2,Junior high school,"Yes, I graduated",0,0,360,0,Not applicable,Not applicable,Not applicable,A little more than enough,Pretty satisfied,Pretty satisfied,Pretty satisfied,Pretty satisfied,Fairly happy,Very good,Same as usual,"NT$30,000 - NT$39,999",0,1.11236804353596
324105,Female,22,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,60,300,0,Fairly satisfied,Fairly satisfied,Very satisfied,Much more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Pretty satisfied,Fairly happy,Good,Not at all,"NT$100,000 - NT$109,999",0,1.11236804353596
324112,Male,22,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,300,60,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Fair,Not at all,"NT$60,000 - NT$69,999",0,1.11236804353596
324118,Male,20,2,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0,120,360,0,Not applicable,Not applicable,Not applicable,A little more than enough,Pretty satisfied,Fairly satisfied,Pretty satisfied,I am currently unemployed,Fairly happy,Good,Not at all,"NT$1 - NT$9,999",0,1.11236804353596
324209,Female,24,2,Master's degree (continue with 6a2),"Yes, I graduated",0,60,180,60,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,A little more than enough,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Poor,Not at all,"NT$70,000 - NT$79,999",0,1.11236804353596
324222,Male,24,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,60,210,0,Not applicable,Not applicable,Not applicable,A little less than enough,Fairly dissatisfied,Fairly satisfied,Pretty satisfied,Pretty dissatisfied,Pretty unhappy,Good,Not at all,"NT$150,000 - NT$159,999",1,1.11236804353596
324225,Female,23,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,90,150,0,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Good,Same as usual,"NT$50,000 - NT$59,999",0,1.11236804353596
326126,Male,24,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,120,240,60,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Very good,Not at all,Don't know,0,1.11236804353596
326127,Male,24,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0,240,60,0,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,A little more than enough,Fairly satisfied,Pretty satisfied,Fairly satisfied,Pretty satisfied,Fairly happy,Excellent,Not at all,"NT$80,000 - NT$89,999",0,1.11236804353596
326211,Male,24,2,"Institute of technology, science and technological college (continue with 6a2)","No, I didn't graduate",0,120,480,0,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Just enough,Fairly satisfied,Fairly dissatisfied,Pretty satisfied,Pretty satisfied,Fairly happy,Fair,Not at all,"NT$70,000 - NT$79,999",0,1.11236804353596
326218,Female,19,2,College (continue with 6a2),Not applicable,0,60,360,0,Not applicable,Not applicable,Not applicable,Much less than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Fair,Not at all,Don't know,0,1.11236804353596
326229,Female,19,2,College (continue with 6a2),Not applicable,0,60,300,0,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Don't know,Pretty satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Pretty happy,Good,Not at all,"NT$130,000 - NT$139,999",0,1.11236804353596
326231,Female,19,2,Senior high school (continue with 6a1),"No, I am still a student",5,240,360,0,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,Just enough,Pretty satisfied,Fairly satisfied,Pretty satisfied,Fairly satisfied,Fairly happy,Good,Not at all,"NT$50,000 - NT$59,999",0,1.11236804353596
328102,Male,19,2,Vocational senior high school (continue with 6a1),"Yes, I graduated",0,330,300,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Pretty satisfied,Fairly satisfied,I am currently unemployed,Pretty happy,Very good,Not at all,Don't know,0,1.19733614412157
328104,Female,19,2,Five-year junior college,"No, I am still a student",60,150,60,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,I am currently unemployed,Fairly happy,Very good,Not at all,"NT$90,000 - NT$99,999",0,1.19733614412157
328106,Female,21,2,College (continue with 6a2),Not applicable,15,30,60,30,Not applicable,Not applicable,Not applicable,Much more than enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,Fairly dissatisfied,Fairly happy,Good,Not at all,"NT$10,000 - NT$19,999",0,1.19733614412157
328114,Male,21,2,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,30,90,60,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Very good,Not at all,"NT$80,000 - NT$89,999",0,1.19733614412157
